Name,SMILES,Predicted_Score,Uncertainty
NCGC00426021-01,O=C(c1ccccc1-c1ccccc1F)N1CCC[C@](CO)(Cc2ccccc2F)C1,-14.412971453786197,0.672337131108182
NCGC00477697-01,O=[S@@+]1([O-])N[C@]2(CC[N@H+](Cc3cccc4ccccc34)C2)CNc2ccccc21,-14.286944770940286,0.5223237506550356
NCGC00444474-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccccc2CC)CC1,-14.05538115530791,0.6074801703735122
NCGC00477614-01,O=[S@+]1([O-])NC2(CC[NH+](Cc3cccc4ccccc34)CC2)CNc2ccccc21,-14.03070036329525,0.6548013990413935
NCGC00444636-01,CCCNC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccc(C)cc2C)CC1,-13.994740914949382,0.5536386353106104
NCGC00463717-01,CCN1C(=O)[C@@H]2CC3(CC[NH+](Cc4cn(C)c5ccc(OC)cc45)CC3)CN2C1=O,-13.917458746692043,0.728321655844718
NCGC00477269-01,O=C1Nc2ccccc2C[C@]12CC[N@H+]2Cc1cccc2ccccc12,-13.90269439528725,0.7598774005984096
NCGC00469815-01,CCCn1c(C)c[nH+]c1CCNC(=O)CCC1CCCC1,-13.872034992187704,0.7899921498238026
NCGC00476675-01,Cc1cc(OC2C[NH+](Cc3cccc4ccccc34)C2)ccc1F,-13.844846401073273,0.7213500180235706
NCGC00464176-01,CCCn1c(C)c[nH+]c1C[C@@H]1CCN([S@+](=O)([O-])c2ccc3c(c2)CCC3)C1,-13.803920977795956,0.6553441744084946
NCGC00374823-01,O=C1Nc2ccccc2C[C@]12CCC[N@@H+](CC1CCCCC1)C2,-13.795943517311958,0.7755049356428311
NCGC00478878-01,COCC(=O)N1CCC[C@]2(Cc3ccccc3NC2=O)C1,-13.755308651327717,0.7961308312178909
NCGC00376996-01,O=C1NCc2ccccc2C[C@]12CC[N@H+](Cc1cccc3ccccc13)C2,-13.72724703184072,0.7004161665443487
NCGC00425887-01,COCCNC(=O)CCC1CCN([S@+](=O)([O-])c2cccc(F)c2)CC1,-13.715876931316362,0.6540168249008725
NCGC00469735-01,COCCCn1c(C)c[nH+]c1CC1CCN(C(=O)c2ccc(OC)cc2OC)CC1,-13.697784128816505,0.7558787360662027
NCGC00469711-01,COc1ccc(C(=O)N2CCC[C@H](Cc3[nH+]cc(C)n3Cc3ccc(F)cc3)C2)cn1,-13.695325993225882,0.581187966601654
NCGC00444514-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccc(CC)cc2)CC1,-13.651766113073489,0.60323062092617
NCGC00425967-01,CCOC(=O)[C@@]1(Cc2ccccc2F)CCCN(C(=O)CCN2CCCCC2=O)C1,-13.630930444299812,0.840759038988641
NCGC00425524-01,CN1N=C(C(=O)N2CCO[C@@H](Cc3cccc4ccccc34)C2)CCC1=O,-13.627759972310097,0.8238243774978745
NCGC00477311-01,Cn1cccc1C[N@H+]1CC[C@@]2(Cc3ccccc3NC2=O)C1,-13.605520578238206,0.6951450102668006
NCGC00469705-01,Cc1ccc(C[N@H+]2CCC[C@@H](Cc3[nH+]cc(C)n3Cc3ccccc3)C2)o1,-13.557991583119668,0.6377391638866504
NCGC00376894-01,CC(=O)NCC(=O)N1Cc2ccccc2C[C@]2(CC[N@H+](CC3CCCCC3)C2)C1,-13.530694612422083,0.8295431281225861
NCGC00469755-01,CCCn1c(C)c[nH+]c1CC1CCN([S@+](=O)([O-])c2cccs2)CC1,-13.515921747221206,0.7050467857821039
NCGC00425935-01,O=C([O-])CCC1CCN([S@+](=O)([O-])c2cccc(F)c2)CC1,-13.504199961215251,0.6596578839907866
NCGC00478087-01,FC(F)(F)c1cccc(C2=NOC3(CC[NH+](Cc4cccc5ccccc45)CC3)C2)c1,-13.472294658839264,0.7977757477537312
NCGC00444510-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccccc2Cl)CC1,-13.470215725761255,0.5969595389616936
NCGC00469710-01,CCn1cc([S@@+](=O)([O-])N2CCC[C@H](Cc3[nH+]cc(C)n3Cc3ccccc3)C2)cn1,-13.4684763070098,0.6844647168290113
NCGC00376822-01,Cc1ccccc1C(=O)N1CC2(Cc3ccccc3NC2=O)C1,-13.44492562868678,0.7542073815047798
NCGC00425795-01,Cc1cccc(CNC(=O)CCC2CCN([S@+](=O)([O-])c3ccccc3)CC2)c1,-13.442284669093482,0.5751283981634602
NCGC00417586-01,Cc1noc(C)c1-c1cc2c(c(-c3ccccc3Oc3ccccc3)c1)C(=O)N(C)C2,-13.419130140019488,0.821843280233555
NCGC00445989-01,Cc1ccc(-c2noc([C@@H]3CCCN3C(=O)Cc3cccc(C)c3)n2)cc1,-13.41508073096954,0.491329312650632
NCGC00430307-01,CC(C)c1ncc(C(=O)N2CCC[C@H](CCc3ccccc3F)C2)c(=O)[nH]1,-13.370466095317528,0.8229291745641878
NCGC00425779-01,Cc1[nH]ncc1CNC(=O)CC[C@H]1CCCN([S@+](=O)([O-])c2cccc(F)c2)C1,-13.366151342495924,0.7619794240692341
