Name,SMILES,Predicted_Score,Uncertainty
NCGC00445964-01,Cc1ccc(C[NH+]2CCC3(CC2)C[C@H](c2ccccc2)C(=O)N3C)cc1F,-14.47809667093506,0.7318645210703754
NCGC00393799-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(C#N)cc2)Oc2ccccc21,-14.18197515692054,0.5178148507003029
NCGC00445868-01,CCc1cc(N2CCC3(CC2)C[C@@H](c2ccccc2)C(=O)N3)nc(N(C)C)n1,-14.156203354101237,0.8754642537554076
NCGC00478609-01,COc1cccc(C(=O)N(C)Cc2ccc(-c3ccccc3)cc2)c1,-14.122927291482265,0.6895160965077003
NCGC00393689-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccc3c(c2)OCO3)Oc2ccccc2N1Cc1ccccn1,-14.058310962618451,0.5940292060782716
NCGC00478617-01,CN(Cc1ccc(-c2ccccc2)cc1)C(=O)C(C)(C)C,-14.051038618900762,0.7354120301588289
NCGC00478614-01,CC(=O)N(C)Cc1ccc(-c2ccccc2)cc1,-13.979034343957784,0.7026364113511513
NCGC00393782-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2cccc(OC)c2)Oc2ccccc21,-13.91738567679895,0.5745984486232034
NCGC00445057-01,CCn1nc(-c2ccc3c(c2)OCO3)nc1N(C)C,-13.909174233691196,0.8653025779279808
NCGC00462612-01,CN(C(=O)c1ccc2c(c1)OCO2)[C@H]1CCc2nn(CC3CC3)c(=O)n2CC1,-13.900710403951306,0.838722335973697
NCGC00460427-01,C[S@+](=O)([O-])N1C[C@H]2CC[N@H+](Cc3ccc(F)cc3F)C[C@H]21,-13.89520584172633,0.8393030227316273
NCGC00412476-01,O=C(Cc1c[nH]c2ncc(-c3ccccc3Oc3ccccc3)cc12)N1CCOCC1,-13.87002023237408,0.5823917797484393
NCGC00414856-01,COCCn1cnc2ccc(-c3ccc4c(c3)OCO4)nc2c1=O,-13.859042481629716,0.8270294826008749
NCGC00470324-01,O=C([C@@H]1CCCN(c2cnn(Cc3ccccc3)c(=O)c2)C1)N1CC[NH+](C2CCCCC2)CC1,-13.841487351565394,0.8234192790866431
NCGC00469701-01,Cc1cccc(C(=O)N2CCC[C@H](Cc3[nH+]cc(C)n3Cc3ccccc3)C2)c1,-13.838142661402232,0.6818800250991778
NCGC00454041-01,Cc1cn2nc(C(=O)N3CCCCC3)cc2c(N(C)Cc2ccccc2)n1,-13.832041087504097,0.6294319434359131
NCGC00426309-01,CSCC(=O)N1CCc2[nH]nc(-c3ccc4c(c3)OCO4)c2C1,-13.827222233327712,0.8589290246678576
NCGC00412277-01,Cc1ccccc1-c1cnc2[nH]cc(CC(=O)N3CC[NH+](C)CC3)c2c1,-13.818710492627211,0.5793771435221255
NCGC00464162-01,CC(=O)N1CC[C@@H](Cc2[nH+]cc(C)n2Cc2ccccc2)C1,-13.818006250228738,0.7103936808876202
NCGC00469704-01,Cc1c[nH+]c(C[C@H]2CCCN(C(=O)c3cc[nH]n3)C2)n1Cc1ccccc1,-13.78717882823389,0.6914550090194713
NCGC00464191-01,Cc1c[nH+]c(C[C@@H]2CCN([S@+](=O)([O-])c3cccc(F)c3)C2)n1C(C)C,-13.774802616660716,0.8102177538774675
NCGC00393713-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(Cl)cc2)Oc2ccccc2N1Cc1ccccc1,-13.774060023985577,0.4772563051118045
NCGC00426473-01,O=C(Cc1ccc2c(c1)OCO2)N1CCc2[nH]nc(-c3ccccc3F)c2C1,-13.729899811067147,0.81605094750298
NCGC00393818-01,COc1ccc(CN2C(=O)[C@@H]3C[C@@H](C[N@H+]3Cc3ccc4c(c3)OCO4)Oc3ccccc32)cc1,-13.72892294480203,0.4995446746727822
NCGC00444765-01,CN1C(=O)[C@H](c2ccccc2)CC12CCN(C(=O)C[NH+]1CCCC1)CC2,-13.716356273740926,0.8059556736734034
NCGC00447690-01,CCc1cc(C(=O)N2CCC3(CC2)C[C@H](c2ccccc2)C(=O)N3)cs1,-13.70185099740511,0.8544683414524167
NCGC00443825-01,CN1C(=O)[C@@H](c2ccccc2)CC12CC[NH+](CCC(=O)[O-])CC2,-13.700251195905295,0.7694632623396266
NCGC00393797-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(OC)nc2)Oc2ccccc21,-13.68735452710923,0.575364530753809
NCGC00412358-01,C[NH+]1CCN(C(=O)Cc2c[nH]c3ncc(-c4ccc5c(c4)OCO5)cc23)CC1,-13.66423828525656,0.7329235874339455
NCGC00463716-01,CCN1C(=O)[C@@H]2CC3(CC[NH+](Cc4c[nH]nc4-c4ccccc4)CC3)CN2C1=O,-13.660312863213129,0.8243833927396375
NCGC00477068-01,O=c1n(-c2ccc(F)cc2F)nc2n1CC[N@@H+](CC1CCCCC1)C2,-13.652223386860031,0.8485735664839112
NCGC00444578-01,COCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2cccc(F)c2)CC1,-13.641739389152216,0.8368983555911047
NCGC00412450-01,C[NH+]1CCN(C(=O)Cc2c[nH]c3ncc(-c4cccc(F)c4)cc23)CC1,-13.64116660523787,0.6816083127706286
NCGC00417039-01,CN1CCOc2c(C(=O)NCCC(N)=O)cc(-c3ccccc3OC(F)(F)F)cc21,-13.637458530629354,0.8716206755227865
NCGC00396575-01,C[S@@+](=O)([O-])c1ccc(C[N@@H+]2C[C@H](O)C[C@H]2c2nc(-c3ccc4c(c3)OCO4)no2)cc1,-13.630039586733735,0.8650342180373795
NCGC00449256-01,CCc1cc(N2CCC3(CC2)C[C@H](c2ccccc2)C(=O)N3C)nc(C)n1,-13.628092838045069,0.8390027606011397
NCGC00429103-01,Cc1ccsc1C[NH+]1CCC(Oc2cc(Cl)ccc2C(=O)N2CCCCC2)CC1,-13.627264931630195,0.8226765213528248
NCGC00429696-01,CN(Cc1ccccc1)C(=O)c1cc(-c2ccncc2)cn1C,-13.621897004501044,0.8127100865940272
NCGC00417078-01,CN(C)C(=O)c1cc(-c2ccccc2F)cc2c1OCCN2Cc1cccnc1,-13.596274857007318,0.8635677264185543
NCGC00452987-01,O=C(CC1CCOCC1)N1CC[NH+](Cc2ccc(F)cc2F)CC1,-13.595608888574112,0.7135080137225994
NCGC00436931-01,Cc1nn2c(N3CC[C@H](O)C3)cc(-c3ccccc3)nc2c1C,-13.583510213046406,0.8603910276486009
NCGC00423217-01,COCCCNC(=O)[C@H]1c2ccccc2C(=O)N(C2CCCC2)C12CCCCC2,-13.583371908321134,0.8719152507139724
NCGC00466430-01,CN(Cc1ccc(N2CCCCC2)cc1)C(=O)c1ccc2c(c1)[C@@H](O)CCCCCN2C,-13.575711747178085,0.8730609512073902
NCGC00448290-01,COc1cccc(C[NH+]2CCC3(CC2)C[C@H](c2ccccc2)C(=O)N3C)c1,-13.572321455450371,0.7572127701519901
NCGC00457014-01,Cc1ccc(-c2cc3c(=O)n(CCNC(=O)C4CCCCC4)ccn3n2)cc1C,-13.556050199088364,0.8723459481583019
NCGC00465580-01,CO[C@@H]1CN(c2cccc(F)c2)C12CCN(C(=O)C1CCCCC1)CC2,-13.544531865004224,0.6973549840296377
