Name,SMILES,Predicted_Score,Uncertainty
NCGC00395507-01,N#Cc1ccc(C[N@@H+]2C[C@@H]3C[C@H]2C(=O)N(Cc2ccccc2)c2ccccc2O3)cc1,-15.11041625292655,0.4077518031356245
NCGC00399753-01,Cn1nc(-c2ccc3ccccc3c2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)COc1ccccc1,-14.820976256465087,0.6249298009877775
NCGC00399687-01,Cn1nc(-c2ccc3ccccc3c2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)NCc1ccccc1,-14.695808322455788,0.6063046781625421
NCGC00399685-01,CCNC(=O)NC[C@H]1C[C@@H]2CC[N@H+]1C[C@@H]2c1cc(-c2ccc3ccccc3c2)nn1C,-14.514160539808325,0.5451600548441878
NCGC00399675-01,Cn1nc(-c2ccc3ccccc3c2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)c1ccco1,-14.360062687722616,0.6101686554511807
NCGC00399665-01,COCC(=O)NC[C@H]1C[C@@H]2CC[N@H+]1C[C@@H]2c1cc(-c2ccc3ccccc3c2)nn1C,-14.199328516014514,0.558064298775039
NCGC00444518-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccc(C)cc2C)CC1,-14.198369695726132,0.5539164004157336
NCGC00463711-01,CCN1C(=O)[C@@H]2CC3(CC[NH+](Cc4cccc(OC(F)(F)F)c4)CC3)CN2C1=O,-14.132430554416946,0.7469050928738855
NCGC00463714-01,CCN1C(=O)[C@@H]2CC3(CC[NH+](Cc4c[nH]nc4-c4ccc(F)cc4)CC3)CN2C1=O,-14.114313679761018,0.5352023150898919
NCGC00444542-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccc(F)c(F)c2)CC1,-14.069985760523528,0.5574138621428016
NCGC00469671-01,COCCn1c(C)c[nH+]c1C[C@H]1CCCN([S@+](=O)([O-])c2cccc(F)c2)C1,-14.0611932180889,0.726439869957536
NCGC00469712-01,Cc1c[nH+]c(C[C@@H]2CCCN(C(=O)COc3ccccc3)C2)n1Cc1ccc(F)cc1,-13.965288897203475,0.7031447635921801
NCGC00478616-01,CN(Cc1ccc(-c2ccccc2)cc1)C(=O)Cc1cccc(Cl)c1,-13.924766902248232,0.674539693856398
NCGC00463706-01,CCOc1ccccc1C[NH+]1CCC2(CC1)C[C@H]1C(=O)N(CC)C(=O)N1C2,-13.89630828632146,0.6761498355095062
NCGC00429765-01,Cc1ccc(Cn2cc(-c3ccncc3)cc2C(=O)N(C)Cc2ccccc2)cc1,-13.876252386145495,0.7256120923514038
NCGC00399829-01,CC(C)NC(=O)NC[C@H]1C[C@@H]2CC[N@H+]1C[C@@H]2c1cc(-c2ccccc2)nn1C,-13.85912183439781,0.7306402799254641
NCGC00444536-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccc(C)c(C)c2)CC1,-13.78122862775576,0.5672767195327029
NCGC00399683-01,Cn1nc(-c2ccc3ccccc3c2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CN[S@+](=O)([O-])c1cccs1,-13.776180824610815,0.6953887672275353
NCGC00399793-01,Cn1nc(-c2ccc(F)cc2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)COc1ccccc1,-13.764306422622418,0.7466428963656182
NCGC00373734-01,Fc1ccc(OC2C[NH+](Cc3cccc4ccccc34)C2)c(F)c1,-13.73942811807272,0.6888379326301141
NCGC00441877-01,CN(Cc1csc(-c2ccccc2)n1)C(=O)c1ccc(-n2cnnn2)cc1,-13.713436845035623,0.7620824174497232
NCGC00427377-01,CSc1ccccc1C(=O)N1CCO[C@H](Cc2cccc(F)c2)C1,-13.70484585217718,0.8435549237970016
NCGC00416375-01,Cn1cc(-c2ccccc2Oc2ccccc2)c2nc(C[N@H+]3CCNC(=O)C3)cn2c1=O,-13.682335927071804,0.8401914831726562
NCGC00469668-01,COCCn1c(C)c[nH+]c1C[C@@H]1CCC[N@H+](Cc2cccc(F)c2)C1,-13.650880193716102,0.7669044206230078
NCGC00464131-01,Cc1c[nH+]c(C[C@H]2CC[NH2+]C2)n1Cc1ccccc1,-13.649480903158272,0.7116000245891805
NCGC00399827-01,CCNC(=O)NC[C@H]1C[C@@H]2CC[N@H+]1C[C@@H]2c1cc(-c2ccccc2)nn1C,-13.633178378237616,0.729336586782623
NCGC00401501-01,CN(Cc1ccccc1)C(=O)[C@H]1O[C@H](CC[NH+]2CCN(c3ccccc3)CC2)CC[C@@H]1O,-13.61550148824218,0.8381202374834583
NCGC00399821-01,Cn1nc(-c2ccccc2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)c1ccco1,-13.614218231202251,0.7534787342463776
NCGC00458209-01,Cc1cccc(C(=O)N2CCCCC[C@@H]2c2nnc(-c3ccccc3)o2)c1,-13.5781691666121,0.6673763318441748
NCGC00444992-01,Cc1cccc(C(=O)N2CCC(OC3CC[NH+](Cc4ccccc4)CC3)CC2)c1,-13.559786611945816,0.7761039668266683
NCGC00469707-01,COc1cccc(C[N@H+]2CCC[C@@H](Cc3[nH+]cc(C)n3Cc3ccccc3)C2)c1,-13.556988398452075,0.7251234579097601
NCGC00446864-01,C[C@H]1CCc2sc(C(=O)N(C)Cc3cc(-c4ccncc4)no3)cc2C1,-13.549855496707478,0.8493865667098306
NCGC00399790-01,Cn1nc(-c2ccc(F)cc2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)NCc1ccccc1,-13.546180836252985,0.7447984566635532
NCGC00477626-01,O=[S@@+]1([O-])N[C@@]2(CCC[N@@H+](Cc3cccc4ccccc34)C2)CNc2ccccc21,-13.538587144159822,0.6554746908718534
NCGC00451031-01,Cc1ccccc1C[N@H+]1CC[C@@]2(C1)C(=O)N(C)C(=O)N2C,-13.531756031103257,0.8239553811339754
NCGC00444506-01,CCC(=O)N(C1CCOCC1)C1CCN([S@+](=O)([O-])c2ccccc2F)CC1,-13.51425194993877,0.6659693415961776
NCGC00469706-01,COc1cccc(C[N@H+]2CCC[C@@H](Cc3[nH+]cc(C)n3Cc3ccccc3)C2)c1OC,-13.513632549968737,0.7574812976835466
NCGC00448593-01,Cc1cccc(-n2c(=O)c3c(cc(C)n3C)n(CC(=O)N(C)c3ccccc3)c2=O)c1,-13.508309144218632,0.5781919758815771
NCGC00401515-01,CN(Cc1ccccc1)C(=O)[C@H]1O[C@H](CCN2CC[NH+](Cc3ccccc3)CC2)CC[C@@H]1O,-13.50310885414981,0.8099405728785438
NCGC00429490-01,CN(C(=O)CCC[C@@H]1[C@H]2CCC[N@@H+]3CCC[C@@H](CN1C(=O)c1ccccc1)[C@@H]23)C1CC[NH+](C)CC1,-13.464631320386772,0.6577180742833038
NCGC00395570-01,O=C1Nc2ccccc2O[C@H]2C[C@@H]1[N@H+](Cc1ccc(C(F)(F)F)cc1)C2,-13.463431254152807,0.7995684152839484
NCGC00477070-01,O=c1n(-c2ccc(F)cc2F)nc2n1CC[N@@H+](Cc1ccccc1)C2,-13.443851710877148,0.6305982970929497
NCGC00444076-01,Cc1ccc(C[N@H+]2C[C@@H]3C(=O)N(CCc4ccccc4)C(=O)[C@@H]3C2)c(C)c1,-13.42018885858777,0.8408974638479333
NCGC00425881-01,Cc1cccc(CNC(=O)CCC2CCN([S@+](=O)([O-])c3cccc(F)c3)CC2)c1,-13.416081557676907,0.784079393604962
NCGC00427229-01,O=C(c1ccncc1)N1CCC[C@H](COc2ccccc2C(=O)N2CCCCC2)C1,-13.415839141149045,0.64747286804962
NCGC00467694-01,Cc1cnn(CCC(=O)N[C@@H]2C[N@@H+](Cc3ccccc3)C[C@H]2CO)c1,-13.413284865095775,0.8059232562278422
NCGC00478655-01,CN(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccccc1,-13.412391347024496,0.7812239513550798
NCGC00443595-01,Cc1nc(C[NH+]2CCC3(CC2)C[C@@H](c2ccccc2)C(=O)N(C2CC2)C3)no1,-13.400631276271495,0.8275375987217474
NCGC00377045-01,O=C(c1ccncc1)N1C[C@H]2CC[C@@H](C1)[N@@H+]2Cc1ccc(-c2ccccc2)cc1,-13.387901276477514,0.8073919590269834
NCGC00399809-01,Cn1nc(-c2ccccc2)cc1[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)c1cccs1,-13.386001761193828,0.7471365188201582
NCGC00469714-01,Cc1c[nH+]c(C[C@H]2CCCN(C(=O)c3cccnc3)C2)n1Cc1ccc(F)cc1,-13.385236888379964,0.6705913811289042
NCGC00443966-01,Cc1cccc(C[N@H+]2C[C@@H]3C(=O)N(C)C(=O)[C@@H]3C2)c1,-13.381012198791932,0.8088645507431316
NCGC00429502-01,CN(CCc1ccccn1)C(=O)CCC[C@@H]1[C@H]2CCC[N@@H+]3CCC[C@@H](CN1C(=O)c1ccccc1)[C@@H]23,-13.377388578492608,0.8124447009231981
NCGC00470554-01,Cc1cccc(C(=O)N2CCC[C@H](Cc3nncn3C)C2)c1,-13.376763823891096,0.7610220772332567
NCGC00427702-01,Cc1cccc(C(=O)N2C[C@@H]3CCC[N@H+]4CCC[C@@H]([C@H]34)[C@H]2CCCC(=O)NCC2CC2)c1,-13.370501170492975,0.8051367099523685
NCGC00469702-01,Cc1c[nH+]c(C[C@@H]2CCCN(C(=O)C3CCC3)C2)n1Cc1ccccc1,-13.36657714769368,0.5969566885562992
NCGC00409702-01,Cc1cccc(C[NH+]2CCC3(CC2)COCCN3C(=O)OCc2ccccc2)c1,-13.36080161777382,0.8099418519682495
NCGC00393800-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2nccn2C)Oc2ccccc21,-13.355767502544914,0.6063361445333739
NCGC00435729-01,Cc1cc(C(=O)N2CC[C@@](O)(C3CCOCC3)[C@H](C)C2)ccc1F,-13.34817204977216,0.843340997593819
NCGC00440538-01,CN(Cc1csc(-c2ccccc2)n1)C(=O)C[C@@H]1COCC[NH2+]1,-13.33966332177928,0.8005902137872436
NCGC00434289-01,CN(Cc1ccccc1)C(=O)c1ccc2c(c1)[nH]c(=O)n2[C@H]1CC[C@H](O)CC1,-13.334365705908326,0.8186517010721043
NCGC00477628-01,O=[S@@+]1([O-])N[C@@]2(CCC[N@@H+](Cc3ccc(C(F)(F)F)cc3)C2)CNc2ccccc21,-13.330634335521609,0.6361494408564831
