Name,SMILES,Predicted_Score,Uncertainty
NCGC00393684-01,Cc1ccc(C[N@@H+]2C[C@@H]3C[C@H]2C(=O)N(CC2CC2)c2ccccc2O3)cc1,-16.38446861464077,0.7164220554709959
NCGC00393850-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2cnc3ccccc3c2)Oc2ccccc21,-16.032146880829774,0.6455659927809362
NCGC00393675-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccccc2)Oc2ccccc2N1CC1CC1,-16.009861047300454,0.6922812633329952
NCGC00393746-01,CN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(F)c(F)c2)Oc2ccccc21,-15.990741420924998,0.8506138501533772
NCGC00393683-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(F)cc2)Oc2ccccc2N1CC1CC1,-15.925818543356709,0.7069986155911144
NCGC00393680-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2cccc(Cl)c2)Oc2ccccc2N1CC1CC1,-15.76639234580841,0.7315199133426985
NCGC00393770-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2cnc3ccccc3c2)Oc2ccccc2N1Cc1ccccc1,-15.754522236950612,0.6497515459002243
NCGC00393666-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccc3c(c2)OCO3)Oc2ccccc2N1CC1CC1,-15.625606662515564,0.7415010017665948
NCGC00478601-01,CN(Cc1ccc(-c2ccccc2)cc1)C(=O)c1ccc(C(F)(F)F)cc1,-15.597390553129454,0.6509089424078564
NCGC00393748-01,CN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccccc2F)Oc2ccccc21,-15.56070260215554,0.8621184843228876
NCGC00393737-01,CN1C(=O)[C@@H]2C[C@@H](C[N@H+]2CC2CC2)Oc2ccccc21,-15.544808442704378,0.8529589631899755
NCGC00427224-01,O=C(c1ccccc1OC[C@@H]1CCC[N@H+](C2CCC2)C1)N1CCOCC1,-15.433739254431742,0.3742230803473581
NCGC00427200-01,O=C(c1ccccc1OC[C@@H]1CCC[N@H+](C2CCCCC2)C1)N1CCCCC1,-15.374840585291969,0.5720932144158435
NCGC00377223-01,COc1ccccc1-c1ccc(C[N@H+]2CCC[C@H](c3nc4ccc(F)cc4c(=O)[nH]3)C2)cc1,-15.35830725195309,0.8661903909278705
NCGC00478603-01,Cc1ccc(C(=O)N(C)Cc2ccc(-c3ccccc3)cc2)cc1,-15.33657781026056,0.6280243826775749
NCGC00427198-01,O=C(c1ccccc1OC[C@@H]1CCC[N@H+](C2CCC2)C1)N1CCCCC1,-15.317401869924977,0.6087309387747317
NCGC00393750-01,CC(C)CC[N@@H+]1C[C@@H]2C[C@H]1C(=O)N(C)c1ccccc1O2,-15.29188762796338,0.8626800717107976
NCGC00454045-01,Cc1cn2nc(C(=O)N3CC[NH+](C4CCCCC4)CC3)cc2c(N(C)Cc2ccccc2)n1,-15.28936250206273,0.8702642897528594
NCGC00395564-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccnc3ccccc23)Oc2ccccc2N1CC1CC1,-15.246692607333689,0.7614409572837968
NCGC00393745-01,CN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(Cl)cc2)Oc2ccccc21,-15.239822559582976,0.8517168664680427
NCGC00472177-01,CN(Cc1ccccc1)C(=O)[C@@]12CCCC[C@H]1N(C)C(=O)CC2,-15.178256959353227,0.8687693530423914
NCGC00393667-01,CC(C)[N@@H+]1C[C@@H]2C[C@H]1C(=O)N(CC1CC1)c1ccccc1O2,-15.14940526691657,0.7951764398944666
NCGC00393673-01,O=C1[C@@H]2C[C@@H](C[N@H+]2Cc2ccccn2)Oc2ccccc2N1CC1CC1,-15.143062507804093,0.7332439350880358
NCGC00458082-01,Cc1ccc(C[NH+]2CC(Oc3ccccc3C(=O)N3CCOCC3)C2)cc1C,-15.118684968794456,0.8137821631068568
NCGC00396088-01,Cc1ccccc1C[N@H+]1CCN2C(=O)N(C3CCCCC3)C[C@H]2C1,-15.089709509746925,0.8695767550492097
NCGC00395286-01,Cc1ccc2c(n1)N(C)[C@H](CO)CC[N@H+](C1Cc3ccccc3C1)C2,-15.05520759397563,0.874672256440951
NCGC00455700-01,Cc1cccc(CC(=O)N2CC(Oc3ccccc3-c3noc(C)n3)C2)c1,-15.04361283919223,0.869638389388444
NCGC00412456-01,C[NH+]1CCN(C(=O)Cc2c[nH]c3ncc(-c4ccccc4Oc4ccccc4)cc23)CC1,-14.976539198769869,0.8475465685622025
NCGC00427515-01,Cc1onc(-c2ccccc2)c1C(=O)N(C)[C@H]1CCC[N@H+](C2Cc3ccccc3C2)C1,-14.96927212178776,0.8662722988633069
NCGC00458196-01,Cc1cccc(CC(=O)N2CCCCC[C@@H]2c2nnc(-c3ccccc3)o2)c1,-14.963218398636464,0.8569014817229335
NCGC00427218-01,O=C(c1ccccc1OC[C@@H]1CCC[N@H+](C2CCCC2)C1)N1CCCC1,-14.960562044558266,0.5994247380627991
NCGC00426694-01,CCn1cc(-c2ccccc2)cc1C(=O)NC1CCCC1,-14.943060217494573,0.8510524619571513
NCGC00427180-01,Cc1ccc(C[N@H+]2CCC[C@@H](COc3ccccc3C(=O)N3CCOCC3)C2)cc1C,-14.871182115485988,0.7642429790620012
NCGC00431069-01,COc1cc2c(cc1-c1c(-c3ccccc3)ncn1CCCO)CCC2,-14.810852984905257,0.8819402548366531
NCGC00438705-01,Cc1ccccc1-c1nn(-c2ccc(F)cc2F)cc1C[NH+]1CCC(O)CC1,-14.78943994760852,0.8817605397074028
NCGC00431782-01,CCC1(CC)C[C@H]1C(=O)N1CCc2onc(-c3cccc(F)c3)c2C1,-14.778621573116013,0.8703155554660472
NCGC00419961-01,COc1ccccc1N1CCCc2ncc(C(=O)N(C)Cc3ccccc3)cc21,-14.776601919843868,0.8675797776028645
NCGC00447728-01,O=C(COc1ccc(F)cc1F)N1CCC[C@@H](Cc2nc3ccccc3[nH]2)C1,-14.764893507227551,0.8574201423702199
NCGC00425882-01,Cc1cc(C)c(C(=O)N(CC2CC[NH+](C3Cc4ccccc4C3)CC2)C[C@@H]2CCCO2)o1,-14.74870096676525,0.8674095827520147
NCGC00429732-01,Cc1ccccc1Cn1cc(-c2ccncc2)cc1C(=O)N1CC[NH+](C2CCCCC2)CC1,-14.740847957904922,0.872285214507828
NCGC00393742-01,CN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(OC(F)(F)F)cc2)Oc2ccccc21,-14.738420171904975,0.853660081363957
NCGC00461723-01,O=C(Cc1ccccc1F)N1CCC2(CC1)C[N@H+](C1CCC1)C[C@@H]2CO,-14.69268045641664,0.820773200483505
NCGC00396991-01,O=C1[C@@H]2C[C@@H](O)CN2C2(C[NH+](C3CCC(F)(F)CC3)C2)C(=O)N1Cc1ccccc1,-14.66839829880502,0.7546528599150382
NCGC00431127-01,CCN(CC1CCOCC1)C(=O)c1cc(COc2ccccc2F)[nH]n1,-14.652372567576958,0.8607709092964032
NCGC00441068-01,COc1ccc(-c2ccccc2)cc1N1C(=O)[C@@H]2C[C@H]1C[N@H+]2Cc1[nH]cnc1C,-14.64336152708074,0.8771269845170844
NCGC00436761-01,Cc1ccccc1OCC(=O)N1C[C@H](CO)[C@H](C[NH+]2CCCCC2)C1,-14.637640117612094,0.8861050107367986
NCGC00393779-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2CC2CC2)Oc2ccccc21,-14.634519826921672,0.8298358081253729
NCGC00393786-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc3c(c2)OCO3)Oc2ccccc21,-14.618134903971884,0.8219655614589885
NCGC00478608-01,COc1ccc(C(=O)N(C)Cc2ccc(-c3ccccc3)cc2)cc1,-14.609818401075795,0.6446267322072722
NCGC00427040-01,O=C(c1ccccc1OC[C@@H]1CCC[N@H+](Cc2ccc(O)c(F)c2)C1)N1CCCCC1,-14.59944729712856,0.8125844947173582
NCGC00393796-01,COCCN1C(=O)[C@@H]2C[C@@H](C[N@H+]2Cc2ccc(Cl)cc2)Oc2ccccc21,-14.586369509551249,0.8275147641820492
NCGC00422335-01,CN(Cc1csc(-c2ccccc2)n1)c1cc([C@H]2C[C@@H](O)C2)nc(N)n1,-14.58389595543085,0.8308208340051558
NCGC00412430-01,C[NH+]1CCN(C(=O)Cc2c[nH]c3ncc(-c4ccccc4F)cc23)CC1,-14.561679654838173,0.868150545052572
NCGC00453386-01,O=C(c1cc(F)ccc1F)N1CCC[C@H](Cc2noc(-c3ccccc3)n2)C1,-14.556758899656192,0.842191675428954
NCGC00458217-01,O=C(Cc1cccc(F)c1)N1CCCCC[C@@H]1c1nnc(-c2ccccc2)o1,-14.543982539502348,0.8484331407742394
NCGC00446458-01,CN1C(=O)[C@@H](c2ccccc2)CC12CC[NH+](Cc1ccc(F)cc1F)CC2,-14.54240723312283,0.8820050799142843
NCGC00472944-01,CCOc1ccccc1C(=O)N1CC[NH+]([C@@H]2CCN(C)C2=O)CC1,-14.527295967562347,0.8378330752672439
NCGC00456255-01,Cc1ccccc1OCc1nc(C2CN(C(=O)Cc3cccc(F)c3)C2)no1,-14.52613838645081,0.8583832710598404
NCGC00469708-01,CCN(CC)C(=O)N1CCC[C@H](Cc2[nH+]cc(C)n2Cc2ccccc2)C1,-14.513329252792335,0.829601404529626
NCGC00474472-01,Cc1nn(-c2ccccc2)c(Oc2ccc(F)cc2F)c1CCC(=O)NC[C@@H]1CCCO1,-14.510199370665394,0.8737785996244397
NCGC00471761-01,CN(C)C(=O)[C@H]1CN(C(=O)c2ccccc2OC(F)(F)F)CC12CCOCC2,-14.50614821436913,0.8776189789710455
NCGC00377203-01,COc1ccccc1-c1ccc(C[N@H+]2CCC[C@H](c3nc4ccc(C)cc4c(=O)[nH]3)C2)cc1,-14.496096956059,0.8753416091509186
NCGC00377229-01,O=c1[nH]c([C@H]2CCC[N@H+](Cc3ccccc3)C2)nc2ccc(F)cc12,-14.493244998443664,0.8576878032158034
NCGC00427116-01,Cc1cccc(C[N@H+]2CCC[C@@H](COc3ccccc3C(=O)N3CCCC3)C2)c1,-14.479177011658656,0.8123287575272568
NCGC00462039-01,COC[C@@H]1C[N@H+](C2CCC2)CC12CCN(C(=O)c1ccccc1OC)CC2,-14.475396245887415,0.8263274850998595
NCGC00393811-01,COc1ccc(CN2C(=O)[C@@H]3C[C@@H](C[N@H+]3Cc3ccccc3C)Oc3ccccc32)cc1,-14.46310150788061,0.848056978580792
NCGC00440296-01,Cc1ccccc1-c1nn(-c2ccc(F)cc2F)cc1C[N@H+]1CCC[C@@H]1C(N)=O,-14.456192297389634,0.8927316317428549
NCGC00373726-01,Fc1ccc(OC2C[NH+](Cc3ccccc3)C2)c(F)c1,-14.441147115751782,0.6857807772612209
NCGC00425686-01,CN(C(=O)c1cccc2ccccc12)[C@H]1CCC[N@H+](C2Cc3ccccc3C2)C1,-14.42414087870658,0.8685392857934254
NCGC00472236-01,CC(C)CCN1C(=O)CC[C@]2(C(=O)N(C)Cc3ccccc3)CCCC[C@@H]12,-14.4240806550648,0.877808334296282
NCGC00393638-01,CN1C(=O)[C@@H]2C[C@@H](C[N@H+]2C2CCCC2)Oc2ccccc21,-14.41950681295761,0.8809769308381077
NCGC00463590-01,CCOc1ccccc1C[NH+]1CCC2(CC1)C[C@H](C(=O)N1CCOCC1)[N@@H+](C)C2,-14.415637463456196,0.8578977581512124
NCGC00373725-01,O=C(c1ccccn1)N1CC(Oc2ccc(F)cc2F)C1,-14.413216229529692,0.8500124677508029
NCGC00472975-01,CC(C)CCN1CC[C@@H]([NH+]2CCN(C(=O)c3cc(F)ccc3F)CC2)C1=O,-14.408986609772604,0.8717047507775663
NCGC00374771-01,CCCC(=O)N1C[C@@]2(CCC[N@@H+]2C2COC2)Cc2ccccc21,-14.404339125245638,0.8866209648009294
NCGC00427953-01,Cc1cccc(CN2CCC[C@](O)(C[NH+]3CCC(C)CC3)C2=O)c1,-14.398283704292382,0.8803723080650329
NCGC00397399-01,O=C1[C@@H]2C[C@@H](O)CN2C2(C[NH+](C3CCC(F)(F)CC3)C2)C(=O)N1Cc1cccc(Cl)c1,-14.388529539885214,0.7757356038267167
NCGC00435027-01,Cc1c(-c2ccccc2F)[nH]c2ccc(CNC(=O)[C@@H]3CC[NH2+]C3)cc12,-14.385810518690135,0.8681928638915086
