Name,SMILES,Score
NCGC00428225-01,c1ccc(cc1)N2CCN(CC2)C(=O)C[N@H+]3C[C@H]4C[C@@H](C3)[C@H]5CCCC(=O)N5C4,-16.5442
NCGC00460216-01,Cc1cccc(c1)CC(=O)N2CCC[C@@H](C2)n3c4c(cccn4)n(c3=O)Cc5ccccc5,-16.5026
NCGC00422389-01,COCc1nc(cc(n1)[C@H]2C[C@@H](C2)[NH3+])N3CCC(CC3)Cn4nccc4,-16.484
NCGC00411762-01,Cn1cnc2c1c(cc(c2)c3ccc(cc3)F)C(=O)NCCc4c[nH]cn4,-16.478
NCGC00463630-01,c1ccc(cc1)C(=O)N2CC3(CCN(CC3)C(=O)c4c5ccccc5ccn4)C[C@H]2CO,-16.4649
NCGC00373806-01,COc1ccc(cc1)C(=O)N2CC[C@]3(C2)c4ccccc4N(C3=O)c5ccccc5,-16.4641
NCGC00478603-01,Cc1ccc(cc1)C(=O)N(C)Cc2ccc(cc2)c3ccccc3,-16.457
NCGC00473480-01,Cc1cccc2c1[nH]cc2C3CCN(CC3)[S@@+](=O)(c4cc(c(cc4Cl)F)F)[O-],-16.4466
NCGC00430272-01,Cc1cccc(c1C)N2CCN(CC2)C(=O)c3ccc4c(c3)N(CC4)C(=O)c5ccccc5,-16.4314
NCGC00423779-01,c1ccc(cc1)CC2CCN(CC2)C(=O)[C@H]3CC(=O)N(C3)c4c5c(cccc5F)[nH]n4,-16.4309
NCGC00464588-01,Cc1cccc(c1)C(=O)N2C[C@H](C[C@H]2C(=O)NC3CC3)Oc4ccccc4,-16.4309
NCGC00425933-01,c1ccc2c(c1)CCN(C2)C(=O)CCC3CCN(CC3)[S@@+](=O)(c4cccc(c4)F)[O-],-16.4203
NCGC00451124-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccccc4Cl,-16.4072
NCGC00393850-01,COCCN1c2ccccc2O[C@H]3C[C@@H](C1=O)[N@@H+](C3)Cc4cc5ccccc5nc4,-16.4023
NCGC00463626-01,COc1ccc(cc1F)C(=O)N2CCC3(CC2)C[C@H](N(C3)C(=O)c4ccccc4)CO,-16.3975
NCGC00426021-01,c1ccc(c(c1)C[C@]2(CCCN(C2)C(=O)c3ccccc3c4ccccc4F)CO)F,-16.3914
