Name,SMILES,Score
NCGC00373327-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccc(c4)C(F)(F)F)[O-],-12.0616
NCGC00373330-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCC4,-13.9787
NCGC00373283-01,c1ccc(cc1)CC(=O)N2CCC[C@@]3(C2)CC(=NO3)c4ccccc4,-13.9363
NCGC00373338-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4ccccc4)[O-],-13.3899
NCGC00373295-01,c1ccc(cc1)CC(=O)N2CCC[C@@]3(C2)CC(=NO3)c4ccccn4,-12.3847
NCGC00373292-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccs4)[O-],-13.0756
NCGC00373300-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-10.5421
NCGC00373296-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCC4,-13.4277
NCGC00373287-01,c1ccc(cc1)C2=NO[C@]3(C2)CCCN(C3)C(=O)C4CCCCC4,-14.1400
NCGC00373308-01,c1ccc(cc1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-14.4980
NCGC00373311-01,c1cc(cc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-])C(F)(F)F,-14.7287
NCGC00373293-01,COc1cccc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4ccccn4)[O-],-12.5653
NCGC00373314-01,c1cc(cnc1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-11.3831
NCGC00373310-01,c1cc(cnc1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCC4,-13.2425
NCGC00373277-01,c1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccccc4,-14.6917
NCGC00373319-01,CC(=O)Nc1ccc(cc1)C[N@@H+]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4,-10.6714
NCGC00373355-01,Cc1c(c(on1)C)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-10.8361
NCGC00373278-01,c1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc5c(c4)OCO5,-12.7263
NCGC00373279-01,c1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-13.4259
NCGC00373309-01,COc1cccc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-13.7366
NCGC00373321-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-8.7557
NCGC00373318-01,c1cc(cnc1)C2=NO[C@]3(C2)CCCN(C3)C(=O)C4CCCCC4,-12.9759
NCGC00373332-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CCCN(C3)C(=O)C4CCCCC4,-13.2389
NCGC00373360-01,CC(C)CC[N@@H+]1CCC[C@@]2(C1)CC(=NO2)c3cccnc3,-12.2036
NCGC00373331-01,COc1ccc(cc1)C[N@@H+]2CCC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-13.3407
NCGC00373334-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@H+](C3)CC4CCCCC4,-14.0334
NCGC00373343-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)C(F)(F)F,-9.6082
NCGC00373304-01,c1ccnc(c1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-12.0528
NCGC00373326-01,COc1cccc(c1)[S@+](=O)([N@@]2CCC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F)[O-],-13.1602
NCGC00373339-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccs4)[O-],-12.8502
NCGC00373354-01,Cn1cccc1C[N@@H+]2CCC[C@@]3(C2)CC(=NO3)c4cccnc4,-13.7641
NCGC00373315-01,c1ccc(cc1)C(=O)N2CCC[C@]3(C2)CC(=NO3)c4cccnc4,-13.2832
NCGC00373364-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4ccc(cc4)F,-13.1639
NCGC00373357-01,CC(=O)N1CCC[C@@]2(C1)CC(=NO2)c3cccnc3,-10.2121
NCGC00064609-02,C1CCC2(CC1)C(=O)N(C(=O)N2)CC(=O)NCCC3=CCCCC3,-13.2569
NCGC00373345-01,COc1ccc(cc1)C2=NO[C@]3(C2)CCC[N@](C3)[S@@+](=O)(c4cccc(c4)OC)[O-],-13.2725
NCGC00373392-01,CC(C)C1=NO[C@]2(C1)CC[N@@](C2)[S@@+](=O)(c3cccs3)[O-],-12.9685
NCGC00373323-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc5c(c4)OCO5,-13.7238
NCGC00373391-01,CC(C)C1=NO[C@]2(C1)CC[N@@](C2)[S@@+](=O)(c3cccc(c3)C(F)(F)F)[O-],-13.9015
NCGC00373394-01,CC(C)C1=NO[C@]2(C1)CC[N@H+](C2)Cc3ccccc3,-12.3432
NCGC00373398-01,CC(C)C1=NO[C@]2(C1)CC[N@H+](C2)Cc3ccc(cc3)C#N,-12.9184
NCGC00373393-01,Cc1c(c(on1)C)[S@+](=O)([N@]2CC[C@@]3(C2)CC(=NO3)C(C)C)[O-],-12.2077
NCGC00373390-01,CC(C)C1=NO[C@]2(C1)CC[N@@](C2)[S@@+](=O)(c3cccc(c3)OC)[O-],-13.6288
NCGC00373380-01,c1ccnc(c1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccnc4,-12.5956
NCGC00373341-01,COc1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccccc4,-12.5500
NCGC00373399-01,CC(C)C1=NO[C@]2(C1)CC[N@H+](C2)Cc3ccc(cc3)C(F)(F)F,-13.2482
NCGC00373376-01,COc1ccc(cc1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccnc4,-12.1431
NCGC00373374-01,C[S@@+](=O)([N@@]1CCC[C@@]2(C1)CC(=NO2)c3ccccn3)[O-],-9.9722
NCGC00373335-01,COc1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-9.2611
NCGC00373385-01,c1cc(cnc1)C2=NO[C@@]3(C2)CCN(C3)C(=O)C4CCCCC4,-13.2374
NCGC00373366-01,c1ccnc(c1)C2=NO[C@]3(C2)CCC[N@H+](C3)Cc4cccnc4,-13.8050
NCGC00373350-01,Cc1ccc(cc1)C(=O)N2CCC[C@]3(C2)CC(=NO3)c4cccnc4,-12.6558
NCGC00373401-01,Cc1cc(no1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)C(C)C,-11.2829
NCGC00373387-01,c1cc(cnc1)C2=NO[C@]3(C2)CC[N@@](C3)[S@@+](=O)(c4cccs4)[O-],-12.1376
NCGC00373386-01,c1ccc(cc1)CC(=O)N2CC[C@]3(C2)CC(=NO3)c4cccnc4,-13.2450
NCGC00373352-01,COc1ccccc1C(=O)N2CCC[C@]3(C2)CC(=NO3)c4cccnc4,-13.6731
NCGC00373388-01,COc1cccc(c1)[S@+](=O)([N@]2CC[C@@]3(C2)CC(=NO3)c4cccnc4)[O-],-12.8819
NCGC00373373-01,CC(=O)N1CCC[C@@]2(C1)CC(=NO2)c3ccccn3,-11.2276
NCGC00373346-01,COc1ccc(cc1)C2=NO[C@@]3(C2)CCCN(C3)C(=O)c4ccc5c(c4)OCO5,-11.7479
NCGC00373351-01,COc1ccc(cc1)C(=O)N2CCC[C@]3(C2)CC(=NO3)c4cccnc4,-13.0203
NCGC00373353-01,c1ccc(c(c1)C(=O)N2CCC[C@]3(C2)CC(=NO3)c4cccnc4)F,-12.5910
NCGC00373383-01,c1ccc(cc1)C(=O)N2CC[C@]3(C2)CC(=NO3)c4cccnc4,-12.4439
NCGC00373403-01,Cc1ccc(cc1)C(=O)N2CC[C@@]3(C2)CC(=NO3)C(C)C,-13.6331
NCGC00373381-01,c1cc(cnc1)C2=NO[C@@]3(C2)CCN(C3)C(=O)c4ccc5c(c4)OCO5,-12.4402
NCGC00373378-01,c1cc(cnc1)C2=NO[C@@]3(C2)CCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-13.3635
NCGC00373436-01,c1cscc1C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCCC5,-5.0204
NCGC00373434-01,c1c(cc(cc1F)F)N2C(=O)[NH+]=C(C23CC[NH+](CC3)CC4CC4)NC5CCCCC5,-8.9766
NCGC00373437-01,Cn1cccc1C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCCC5,-11.5570
NCGC00373439-01,c1ccc(cc1)C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCCC5,-8.7120
NCGC00373406-01,CC(C)C1=NO[C@]2(C1)CCN(C2)C(=O)c3ccccc3F,-12.5152
